title,url,description,category,sub_category,skills,extracted_entities
Microsoft Azure Data Engineering Associate (DP-203) Professional Certificate,https://www.coursera.org/professional-certificates/microsoft-azure-dp-203-data-engineering,Launch Your Career in Data Engineering. Master designing and implementing data solutions that use Microsoft Azure data services ,Data Science,Data Analysis,"Develop for Azure storage,Develop Azure compute solutions,Connect to and consume Azure services and third-party services,Implement Azure security,Monitor and troubleshoot Azure solutions,","{'SKILL': [{'word': 'Zure Storage', 'score': 0.5923346281051636}, {'word': 'Azure Compute', 'score': 0.772639274597168}, {'word': 'Azure Services', 'score': 0.8551638722419739}, {'word': 'Party Services', 'score': 0.5809723138809204}, {'word': 'Azure Security', 'score': 0.880749523639679}, {'word': 'Azure', 'score': 0.7858163714408875}]}"
IBM Mainframe Developer Professional Certificate,https://www.coursera.org/professional-certificates/ibm-mainframe-developer,Mainframe COBOL Programmer Developer Analyst . Learn and use COBOL programming language,Computer Science,Software Development,"Mainframe,z/OS,Enterprise Software,security,IBM Z,COBOL Divisions,COBOL coding,Column Structure,COBOL Structure,Symbols,Computer Programming,Euler'S Totient Function,Intrinsic Function,Sorting,Issue Tracking System,Scrum (Software Development),Interfaces,Command-Line Interface,","{'SKILL': [{'word': 'Enterprise Software', 'score': 0.9792765378952026}, {'word': 'Security', 'score': 0.7010565400123596}, {'word': 'IBM Z', 'score': 0.6952438354492188}, {'word': 'COBOL Divisions', 'score': 0.8325515389442444}, {'word': 'COBOL Coding', 'score': 0.8709244728088379}, {'word': 'Column Structure', 'score': 0.8961939215660095}, {'word': 'COBOL Structure', 'score': 0.9583097696304321}, {'word': 'Symbols', 'score': 0.911384642124176}, {'word': 'Computer Programming', 'score': 0.821473240852356}, {'word': 'S Totient Function', 'score': 0.9139325022697449}, {'word': 'Trinsic Function', 'score': 0.8963648676872253}, {'word': 'Sorting', 'score': 0.9708824157714844}, {'word': 'Issue Tracking System', 'score': 0.9541853666305542}, {'word': 'Scrum', 'score': 0.836422324180603}, {'word': 'Software Development', 'score': 0.7764674425125122}, {'word': 'Interfaces', 'score': 0.9413778185844421}, {'word': 'Command - Line Interface', 'score': 0.9272556304931641}]}"
IBM z/OS Mainframe Practitioner Professional Certificate,https://www.coursera.org/professional-certificates/ibm-z-mainframe,"Launch your career as an IBM z/OS Practitioner. Build skills in IBM Z, a platform used in the world's most critical businesses. ",Information Technology,Data Management,"Linux,Mainframe,z systems,security,IBM Z,","{'TOOL': [{'word': 'IBM Z', 'score': 0.8523235321044922}]}"
Soporte de Tecnologías de la Información de Google Professional Certificate,https://www.coursera.org/professional-certificates/soporte-de-tecnologias-de-informacion-google,Instructor: Google Career Certificates ,Information Technology,Support and Operations,"Linux,Código binario,Solución de problemas,Soporte al cliente,Ipv4,Sistema de nombres de dominio,Modelo de red,Powershell,Interfaz de comandos,Sistemas de archivos de Linux,Protocolo ligero de acceso a directorios,Respaldo,Servicio de directorio,Ciberseguridad,Criptografía,Seguridad inalámbrica,Seguridad de la red,","{'TOOL': [{'word': 'Linux', 'score': 0.5861648917198181}, {'word': 'C Digo Binario', 'score': 0.5549906492233276}, {'word': 'Ipv4', 'score': 0.6525314450263977}, {'word': 'Model', 'score': 0.5889054536819458}, {'word': 'Powers', 'score': 0.6783173084259033}, {'word': 'Interfa', 'score': 0.6591651439666748}], 'SKILL': [{'word': 'Hell', 'score': 0.5753244757652283}, {'word': 'Protocol', 'score': 0.7974108457565308}, {'word': 'Ser', 'score': 0.7004071474075317}, {'word': 'Riptograf A', 'score': 0.6210173964500427}]}"
Meta AR Developer  Professional Certificate,https://www.coursera.org/professional-certificates/meta-ar-developer,"Prepare for a career as an AR Developer. In this program, advance your software development skills with the latest augmented reality concepts, tools, and technologies.",Computer Science,Software Development,"Unity,JavaScript coding,Meta Spark,Vuforia,C# coding,","{'SKILL': [{'word': 'Javascript Coding', 'score': 0.9934723377227783}, {'word': 'Meta Spark', 'score': 0.8173895478248596}, {'word': 'Vuforia', 'score': 0.7703955769538879}, {'word': 'C Coding', 'score': 0.8508176207542419}]}"
Goodwill® Career Coach and Navigator Professional Certificate,https://www.coursera.org/professional-certificates/goodwill-career-coach-and-navigator,"Launch your path in career navigation. In this program, you'll build skills to help others navigate their careers. No degree or prior experience required.",Social Sciences,Education,"Crisis Intervention,establishing trust,establish coaching agreements,Human-centered coaching,Case Management,outreach,intake,Gap Analysis,Recruitment,Occupational guidance,onboarding preparation,resume preparation,Networking,Professional Development,Research technology trends,establish business partnerships,virtual coaching,","{'SKILL': [{'word': 'Crisis Intervention', 'score': 0.8011491894721985}, {'word': 'Coaching', 'score': 0.9660178422927856}, {'word': 'Human', 'score': 0.8230838179588318}, {'word': 'Case Management', 'score': 0.9941310882568359}, {'word': 'Gap Analysis', 'score': 0.9911283850669861}, {'word': 'Ruitment', 'score': 0.609885036945343}, {'word': 'Upation', 'score': 0.7598515748977661}, {'word': 'Boarding Preparation', 'score': 0.5721425414085388}, {'word': 'Resume Preparation', 'score': 0.9562183618545532}, {'word': 'Networking', 'score': 0.9873101115226746}, {'word': 'Professional Development', 'score': 0.9904841780662537}, {'word': 'Research', 'score': 0.9935831427574158}, {'word': 'Business Partnerships', 'score': 0.6942681074142456}]}"
Desarrollador back-end de Meta Professional Certificate,https://www.coursera.org/professional-certificates/meta-back-end-developer-es,Launch your career as a back-end developer. Build job-ready skills for an in-demand career and earn a credential from Meta. No degree or prior experience required to get started.,Computer Science,Mobile and Web Development,"Linux,Cloud Hosting,Web Development,Bash (Unix Shell),Python Programming,Application Programming Interfaces (API),Computer Programming,Django (Web Framework),","{'SKILL': [{'word': 'Cloud Hosting', 'score': 0.9945273399353027}, {'word': 'Web Development', 'score': 0.9702932238578796}, {'word': 'Bash', 'score': 0.9124411344528198}, {'word': 'Unix Shell', 'score': 0.8412960171699524}, {'word': 'Python Programming', 'score': 0.9522831439971924}, {'word': 'Application Programming Interface', 'score': 0.9695776700973511}, {'word': 'API', 'score': 0.8855987191200256}, {'word': 'Computer Programming', 'score': 0.907929003238678}, {'word': 'Django', 'score': 0.8369871973991394}, {'word': 'Web Framework', 'score': 0.8085668683052063}]}"
Pre-MBA Statistics,https://www.coursera.org/learn/pre-mbastatistics,"Welcome to the Pre-MBA Statistics course! By the end of this course, you will be able to describe how statistics can be used to summarize, analyze, and interpret data. This course introduces you to some aspects of descriptive and inferential statistics. You will learn to distinguish between various data types and describe the operations that you can execute with each type of data and the right tools to use. The course also discusses the concepts of probability, which form the backbone of statistical analysis. In particular, the course explores how data behaves and provides insight into its analysis. Further, it discusses how data can be sampled and the pros and cons of these methods. The course also delves deeper into the behavior of large data sets based on well-established statistical results. This also enables you to identify the pitfalls of incorrectly using statistical laws. Lastly, you will learn how to estimate population parameters based on limited data and check the correctness of hypotheses about populations from limited data. ",Data Science,Probability and Statistics,"Probability And Statistics,Data Science,Data Analysis,General Statistics,","{'SKILL': [{'word': 'Bility', 'score': 0.6443745493888855}, {'word': 'Statistics', 'score': 0.9665664434432983}, {'word': 'Data Science', 'score': 0.9491540193557739}, {'word': 'Data Analysis', 'score': 0.9092142581939697}, {'word': 'General Statistics', 'score': 0.8856198191642761}]}"
Automation Business Analysis - Concepts and Principles,https://www.coursera.org/learn/automation-business-analyst,"Change is inevitable and so are the digital disruptions in every industry. What’s important from a business perspective is to align and adapt to such digital disruptions. In today’s competitive business market, the key to success is wise data-driven decisions, made based on reliable information. As part of your work responsibilities, you would have discovered, synthesized, and analyzed information collected from various sources at some point in time. This is Business Analysis. It is the set of tasks, knowledge, and techniques required to identify business needs and determine solutions to enterprise business problems. Like we said earlier, a plethora of digital disruptions are taking place in every industry. We are witnessing the growth of a digital-ready culture with automation at its helm. Automation generates productivity boosts at the process, workflow, and workforce levels, thereby shaping organizational growth and longevity. With organizations moving towards automation, it’s of paramount importance for a Business Analyst to be skilled with the science of automation to facilitate communication and collaboration with relevant stakeholders. As a strong proponent of Robotic Process Automation (RPA), UiPath brings in the Automation Business Analyst role, who will be responsible for analyzing business requirements, identifying possible automatable processes as well as potential pitfalls, along with assessing the impact of automation implementation. Through this course, you will learn techniques for ensuring project success at every step-from understanding the enterprise problems or goals, to designing solutions, devising strategies, and thereby, driving change.  Along with the foundational business analysis skills, you will also learn how to incorporate business analysis deliverables and models into an RPA specific Process Definition Document (PDD), which is the representation of ‘as-is’ business processes that are chosen for automation. Throughout this course the terms ‘Robotic Process Automation’ (RPA) and ‘Automation’ have been used interchangeably. Aligned with IIBA's BABOK, this course will help you take the first step in your Business Analyst journey and will aid you with preparation for ECBA (Entry Certificate in Business Analysis).To complete this course, you will need IIBA’s BABOK Guide, which can be accessed at no additional cost.",Business,Business Strategy,"Process Analysis,Business Analysis,Elicitation Techniques,Process Definition Document,Process Assessment,","{'SKILL': [{'word': 'Process Analysis', 'score': 0.921000599861145}, {'word': 'Business Analysis', 'score': 0.9664149284362793}, {'word': 'Elicitation Techniques', 'score': 0.9785072207450867}, {'word': 'Process Definition Document', 'score': 0.9762000441551208}, {'word': 'Process Assessment', 'score': 0.9497193098068237}]}"
Probability & Statistics for Machine Learning & Data Science,https://www.coursera.org/learn/machine-learning-probability-and-statistics,"After completing this course, learners will be able to:",Computer Science,Algorithms,"Statistical Analysis,Probability And Statistics,Probability,Statistical Hypothesis Testing,Machine Learning (ML) Algorithms,","{'SKILL': [{'word': 'Statistical Analysis', 'score': 0.9886895418167114}, {'word': 'Probability', 'score': 0.6870848536491394}, {'word': 'Statistics', 'score': 0.9393226504325867}, {'word': 'Probability', 'score': 0.86917644739151}, {'word': 'Statistical Hypothesis Testing', 'score': 0.8703076839447021}, {'word': 'Machine Learning', 'score': 0.7785367965698242}, {'word': 'Algorithms', 'score': 0.9411634802818298}]}"
Excellence in Online Teaching,https://www.coursera.org/learn/excellence-in-online-teaching,This course is aimed at anyone who is teaching online or will be in the future.  Learners will come away with ways to improve their online courses and teaching practices today.,Social Sciences,Education,"leveraging technology,Professional Development,building community,facilitating online learning,Accessibility,","{'SKILL': [{'word': 'Professional Development', 'score': 0.9887498617172241}, {'word': 'Access', 'score': 0.7808261513710022}], 'EXP': [{'word': 'Learning', 'score': 0.5524330139160156}]}"
A Blueprint for Success – Your Video Pre-Production,https://www.coursera.org/learn/a-blueprint-for-success-your-video-pre-production,"In this course, we will learn about pre-production, which requires levels of planning before you ever pick up a camera. We will share with you the terminology used widely in production work, along with our ideas for affordable camera gear and editing applications. We’ll also discuss strategies to help you generate story ideas and the focus, find characters, write treatments and scripts, draw storyboards, and even pointers on how to pitch your stories.",Personal Development,Personal Development,"Video Editing,Linear Editing,Video Production,video pre-production,","{'SKILL': [{'word': 'Video Editing', 'score': 0.9694614410400391}, {'word': 'Line', 'score': 0.8853201866149902}, {'word': 'Ar Editing', 'score': 0.9743977785110474}, {'word': 'Video Production', 'score': 0.9855124950408936}]}"
Design Thinking: Insights to Inspiration ,https://www.coursera.org/learn/uva-darden-design-thinking-insights-to-inspiration,Welcome Designers!,Business,Business Strategy,"Strategic Thinking,Innovation,Innovation Management,Design Thinking,","{'SKILL': [{'word': 'Strategic Thinking', 'score': 0.982752799987793}, {'word': 'Innovation', 'score': 0.8734094500541687}, {'word': 'Innovation Management', 'score': 0.8364278078079224}, {'word': 'Design Thinking', 'score': 0.7727554440498352}]}"
AI For Everyone,https://www.coursera.org/learn/ai-for-everyone,"AI is not only for engineers. If you want your organization to become better at using AI, this is the course to tell everyone--especially your non-technical colleagues--to take. ",Business,Business Strategy,"Workflow of Machine Learning projects,AI terminology,AI strategy,Workflow of Data Science projects,","{'SKILL': [{'word': 'Machine Learning', 'score': 0.9957401752471924}, {'word': 'AI Terminology', 'score': 0.9535220861434937}, {'word': 'AI Strategy', 'score': 0.9352390766143799}, {'word': 'Data Science', 'score': 0.9922173023223877}]}"
Supervised Machine Learning: Regression and Classification ,https://www.coursera.org/learn/machine-learning,"In the first course of the Machine Learning Specialization, you will:",Data Science,Machine Learning,"Regularization to Avoid Overfitting,Gradient Descent,Supervised Learning,Linear Regression,Logistic Regression for Classification,","{'SKILL': [{'word': 'Id Overfitting', 'score': 0.9843326807022095}, {'word': 'Ient Descent', 'score': 0.8843989968299866}, {'word': 'Learning', 'score': 0.9474027156829834}, {'word': 'Linear Regression', 'score': 0.8554010987281799}, {'word': 'Logistic Regression', 'score': 0.8234633207321167}]}"
"Foundations: Data, Data, Everywhere",https://www.coursera.org/learn/foundations-data,"This is the first course in the Google Data Analytics Certificate. These courses will equip you with the skills you need to apply to introductory-level data analyst jobs. Organizations of all kinds need data analysts to help them improve their processes, identify opportunities and trends, launch new products, and make thoughtful decisions. In this course, you’ll be introduced to the world of data analytics through hands-on curriculum developed by Google. The material shared covers plenty of key data analytics topics, and it’s designed to give you an overview of what’s to come in the Google Data Analytics Certificate. Current Google data analysts will instruct and provide you with hands-on ways to accomplish common data analyst tasks with the best tools and resources.",Data Science,Data Analysis,"Spreadsheet,Data Cleansing,Data Analysis,Data Visualization (DataViz),SQL,","{'SKILL': [{'word': 'Data Cleansing', 'score': 0.995047390460968}, {'word': 'Data Analysis', 'score': 0.9856577515602112}, {'word': 'Data Visualization', 'score': 0.9858155846595764}], 'TOOL': [{'word': 'Dataviz', 'score': 0.8963978886604309}]}"
Foundations of Project Management,https://www.coursera.org/learn/project-management-foundations,"This course is the first in a series of six to equip you with the skills you need to apply to introductory-level roles in project management. Project managers play a key role in leading, planning and implementing critical projects to help their organizations succeed. In this course, you’ll discover foundational project management terminology and gain a deeper understanding of  the role and responsibilities of a project manager. We’ll also introduce you to the kinds of jobs you might pursue after completing this program. Throughout the program, you’ll learn from current Google project managers, who can provide you with a multi-dimensional educational experience that will help you build your skills  for on-the-job application. ",Business,Leadership and Management,"Organizational Culture,Career Development,Strategic Thinking,Change Management,Project Management,","{'SKILL': [{'word': 'Organization', 'score': 0.8059103488922119}, {'word': 'Culture', 'score': 0.9933451414108276}, {'word': 'Career Development', 'score': 0.994974672794342}, {'word': 'Strategic Thinking', 'score': 0.9792913794517517}, {'word': 'Change Management', 'score': 0.8908168077468872}, {'word': 'Project Management', 'score': 0.8945829272270203}]}"
Leadership Skills,https://www.coursera.org/learn/leadershipskills,"Welcome to the Leadership Skills course! In our increasingly complex world, understanding the practice of leadership is critical. In simpler words, leadership is the practice of influencing people to meet the challenges that will enable them to achieve important individual and organizational goals. This course provides a foundation for leadership practice and aims to take you on a journey of self-discovery. You will also gain insight into building inner stability and developing your leadership skills.",Business,Leadership and Management,"Leading and managing change in organisation,Supportive communication,Leading subordinates effectively,Mindfulness,Positive Personality,","{'SKILL': [{'word': 'Mind', 'score': 0.8227808475494385}, {'word': 'Sitive Personality', 'score': 0.715069591999054}]}"
Technical Support Fundamentals,https://www.coursera.org/learn/technical-support-fundamentals,"This course is the first of a series that aims to prepare you for a role as an entry-level IT Support Specialist. In this course, you’ll be introduced to the world of Information Technology, or IT. You’ll learn about the different facets of Information Technology, like computer hardware, the Internet, computer software, troubleshooting, and customer service. This course covers a wide variety of topics in IT that are designed to give you an overview of what’s to come in this certificate program.",Information Technology,Support and Operations,"Binary Code,Customer Support,Linux,Troubleshooting,","{'SKILL': [{'word': 'Code', 'score': 0.9133787155151367}, {'word': 'Customer Support', 'score': 0.8536220192909241}, {'word': 'Linux', 'score': 0.6020180583000183}, {'word': 'Troubleshooting', 'score': 0.869521975517273}]}"
Foundations of User Experience (UX) Design,https://www.coursera.org/learn/foundations-user-experience-design,"Foundations of User Experience (UX) Design is the first of a series of seven courses that will equip you with the skills needed to apply to entry-level jobs in user experience design. UX designers focus on the interactions that people have with products like websites, mobile apps, and physical objects. UX designers make those everyday interactions usable, enjoyable, and accessible. The role of an entry-level UX designer might include empathizing with users, defining their pain points, coming up with ideas for design solutions, creating wireframes, prototypes, and mockups, and testing designs to get feedback. ",Computer Science,Design and Product,"User Experience (UX),UX Research,Wireframe,Prototype,User Experience Design (UXD),","{'SKILL': [{'word': 'Use', 'score': 0.6615939736366272}, {'word': 'R Experience', 'score': 0.7590302228927612}, {'word': 'UX Research', 'score': 0.9200606942176819}, {'word': 'Use', 'score': 0.8443630337715149}, {'word': 'R Experience Design', 'score': 0.9349699020385742}], 'TOOL': [{'word': 'Wireframe', 'score': 0.5881058573722839}]}"
Ask Questions to Make Data-Driven Decisions,https://www.coursera.org/learn/ask-questions-make-decisions,"This is the second course in the Google Data Analytics Certificate. These courses will equip you with the skills needed to apply to introductory-level data analyst jobs. You’ll build on your understanding of the topics that were introduced in the first Google Data Analytics Certificate course. The material will help you learn how to ask effective questions to make data-driven decisions, while connecting with stakeholders’ needs. Current Google data analysts will continue to instruct and provide you with hands-on ways to accomplish common data analyst tasks with the best tools and resources.",Data Science,Data Analysis,"Spreadsheet,Questioning,Decision-Making,Problem Solving,Data Analysis,","{'SKILL': [{'word': 'Questioning', 'score': 0.7629675269126892}, {'word': 'Decision - Making', 'score': 0.8831513524055481}, {'word': 'Problem Solving', 'score': 0.8502108454704285}, {'word': 'Data Analysis', 'score': 0.9582281112670898}]}"
Indigenous Canada,https://www.coursera.org/learn/indigenous-canada,"Indigenous Canada is a 12-lesson Massive Open Online Course (MOOC) from the Faculty of Native Studies that explores the different histories and contemporary perspectives of Indigenous peoples living in Canada. From an Indigenous perspective, this course explores complex experiences Indigenous peoples face today from a historical and critical perspective highlighting national and local Indigenous-settler relations. Topics for the 12 lessons include the fur trade and other exchange relationships, land claims and environmental impacts, legal systems and rights, political conflicts and alliances, Indigenous political activism, and contemporary Indigenous life, art and its expressions.",Arts and Humanities,History,"Politics,Art,Human Rights and Allyship,History,Indigenous Studies,","{'SKILL': [{'word': 'Politics', 'score': 0.6664519906044006}, {'word': 'Art', 'score': 0.7356775403022766}, {'word': 'Human Rights', 'score': 0.9264661073684692}, {'word': 'Allyship', 'score': 0.6881387829780579}, {'word': 'History', 'score': 0.70453941822052}, {'word': 'Indigenous Studies', 'score': 0.9489039182662964}]}"
Financial Markets,https://www.coursera.org/learn/financial-markets-global,"An overview of the ideas, methods, and institutions that permit human society to manage risks and foster enterprise.  Emphasis on financially-savvy leadership skills. Description of practices today and analysis of prospects for the future. Introduction to risk management and behavioral finance principles to understand the real-world functioning of securities, insurance, and banking industries.  The ultimate goal of this course is using such industries effectively and towards a better society.",Business,Finance,"Behavioral Finance,Financial Markets,Finance,Behavioral Economics,","{'SKILL': [{'word': 'Vior', 'score': 0.9455549716949463}, {'word': 'Al Finance', 'score': 0.9822747707366943}, {'word': 'Financial Markets', 'score': 0.995773434638977}, {'word': 'Finance', 'score': 0.9967691898345947}, {'word': 'Behavior', 'score': 0.7274875640869141}, {'word': 'Al Economics', 'score': 0.8416507244110107}]}"
Advanced Learning Algorithms,https://www.coursera.org/learn/advanced-learning-algorithms,"In the second course of the Machine Learning Specialization, you will:",Data Science,Machine Learning,"Artificial Neural Network,Xgboost,Tensorflow,Tree Ensembles,Advice for Model Development,","{'SKILL': [{'word': 'Neural Network', 'score': 0.9263411164283752}, {'word': 'Flow', 'score': 0.7554153800010681}, {'word': 'Tree Ensemble', 'score': 0.7388851642608643}, {'word': 'Model Development', 'score': 0.7631465196609497}], 'TOOL': [{'word': 'Xgboost', 'score': 0.7249559164047241}, {'word': 'Sor', 'score': 0.6540675759315491}]}"
The Science of Well-Being,https://www.coursera.org/learn/the-science-of-well-being,NEW TEEN VERSION AVAILABLE HERE: https://www.coursera.org/learn/the-science-of-well-being-for-teens,Personal Development,Personal Development,"Gratitude,Happiness,Meditation,Savoring,","{'SKILL': [{'word': 'Happiness', 'score': 0.6866797208786011}, {'word': 'Meditation', 'score': 0.7065203189849854}, {'word': 'Savoring', 'score': 0.6906356811523438}]}"
Foundations of Digital Marketing and E-commerce,https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce,"This is the first of seven courses in the Google Digital Marketing & E-commerce Certificate, which will equip you with the skills you need to apply to entry-level roles in these fields. People who work in digital marketing and e-commerce help their organizations attract new customers, engage customers through various digital channels, and drive transactions like purchases and customer loyalty. In this course, you’ll explore entry-level jobs in digital marketing and e-commerce and identify the roles and functions that those jobs play within an organization. You’ll also learn about the marketing funnel and how it shapes the customer journey. ",Business,Marketing,"Marketing,Customer loyalty,E-Commerce,Marketing Analytics,Customer Outreach,","{'SKILL': [{'word': 'Custom', 'score': 0.9847837686538696}, {'word': 'E - Commerce', 'score': 0.9105245471000671}, {'word': 'Marketing Analytics', 'score': 0.8947138786315918}, {'word': 'Customer Outreach', 'score': 0.9452940821647644}]}"
Project Initiation: Starting a Successful Project,https://www.coursera.org/learn/project-initiation-google,"This is the second course in the Google Project Management Certificate program. This course will show you how to set a project up for success in the first phase of the project life cycle: the project initiation phase. In exploring the key components of this phase, you’ll learn how to define and manage project goals, deliverables, scope, and success criteria. You’ll discover how to use tools and templates like stakeholder analysis grids and project charters to help you set project expectations and communicate roles and responsibilities. Current Google project managers will continue to instruct and provide you with hands-on approaches for accomplishing these tasks while showing you the best project management tools and resources for the job at hand.",Business,Leadership and Management,"Stakeholder Management,Strategic Thinking,Business Writing,Project Management,Project Charter,","{'SKILL': [{'word': 'Holder Management', 'score': 0.9693244099617004}, {'word': 'Strategic Thinking', 'score': 0.9865060448646545}, {'word': 'Business Writing', 'score': 0.8929570317268372}, {'word': 'Project Management', 'score': 0.9503686428070068}, {'word': 'Project Charter', 'score': 0.9308807849884033}]}"
Neural Networks and Deep Learning,https://www.coursera.org/learn/neural-networks-deep-learning,"In the first course of the Deep Learning Specialization, you will study the foundational concept of neural networks and deep learning. ",Data Science,Machine Learning,"Deep Learning,Artificial Neural Network,Backpropagation,Python Programming,Neural Network Architecture,","{'SKILL': [{'word': 'Deep Learning', 'score': 0.9899044036865234}, {'word': 'Art', 'score': 0.9717171788215637}, {'word': 'Ific', 'score': 0.624366283416748}, {'word': 'Ial Neural Network', 'score': 0.9188371896743774}, {'word': 'Backpropagation', 'score': 0.9700067639350891}, {'word': 'Python Programming', 'score': 0.9805023670196533}, {'word': 'Neural Network Architecture', 'score': 0.9125725626945496}]}"
The Bits and Bytes of Computer Networking,https://www.coursera.org/learn/computer-networking,This course is designed to provide a full overview of computer networking. We’ll cover everything from the fundamentals of modern networking technologies and protocols to an overview of the cloud to practical applications and network troubleshooting. ,Information Technology,Networking,"Domain Name System (DNS),Ipv4,Network Model,Troubleshooting,","{'SKILL': [{'word': 'Domain Name System', 'score': 0.9749205112457275}, {'word': 'DNS', 'score': 0.7388748526573181}, {'word': 'Pv4', 'score': 0.8149757385253906}, {'word': 'Network Model', 'score': 0.9850287437438965}, {'word': 'Troubleshooting', 'score': 0.8431811928749084}]}"
Prepare Data for Exploration,https://www.coursera.org/learn/data-preparation,"This is the third course in the Google Data Analytics Certificate. These courses will equip you with the skills needed to apply to introductory-level data analyst jobs. As you continue to build on your understanding of the topics from the first two courses, you’ll also be introduced to new topics that will help you gain practical data analytics skills. You’ll learn how to use tools like spreadsheets and SQL to extract and make use of the right data for your objectives and how to organize and protect your data. Current Google data analysts will continue to instruct and provide you with hands-on ways to accomplish common data analyst tasks with the best tools and resources.",Data Science,Data Analysis,"Spreadsheet,Metadata,Data Collection,Data Ethics,SQL,","{'SKILL': [{'word': 'Metadata', 'score': 0.8416218757629395}, {'word': 'Data Collection', 'score': 0.9525309801101685}, {'word': 'Data Ethics', 'score': 0.9760000705718994}]}"
Introduction to Psychology ,https://www.coursera.org/learn/introduction-psychology,"What are people most afraid of? What do our dreams mean? Are we natural-born racists? What makes us happy? What are the causes and cures of mental illness? This course tries to answer these questions and many others, providing a comprehensive overview of the scientific study of thought and behavior. It explores topics such as perception, communication, learning, memory, decision-making, persuasion, emotions, and social behavior.  We will look at how these aspects of the mind develop in children, how they differ across people, how they are wired-up in the brain, and how they break down due to illness and injury.",Health,Psychology,"reasoning,Problem Solving,abstract thinking,analytical thinking,Critical Thinking,","{'SKILL': [{'word': 'Problem Solving', 'score': 0.9953801035881042}, {'word': 'Abstract Thinking', 'score': 0.9830259084701538}, {'word': 'Analytical Thinking', 'score': 0.9855567216873169}, {'word': 'Critical Thinking', 'score': 0.9898152351379395}]}"
Introduction to Cybersecurity Tools & Cyber Attacks,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,"This course gives you the background needed to understand basic Cybersecurity.  You will learn the history of Cybersecurity, types and motives of cyber attacks to further your knowledge of current threats to organizations and individuals.  Key terminology, basic system concepts and tools will be examined as an introduction to the Cybersecurity field.",Information Technology,Cloud Computing,"Information Security (INFOSEC),IBM New Collar,Malware,Cybersecurity,Cyber Attacks,","{'SKILL': [{'word': 'Information Security', 'score': 0.8544654846191406}, {'word': 'Cybersecurity', 'score': 0.9293273687362671}, {'word': 'Cyber Attacks', 'score': 0.9265337586402893}], 'TOOL': [{'word': 'INFOS', 'score': 0.6165198683738708}, {'word': 'IBM New Collar', 'score': 0.6414937376976013}]}"
What is Data Science? ,https://www.coursera.org/learn/what-is-datascience,"Do you want to know why Data Science has been labelled as the sexiest profession of the 21st century? After taking this course you will be able to answer this question, and get a thorough understanding of what is Data Science, what data scientists do, and learn about career paths in the field. ",Data Science,Data Analysis,"Data Science,Deep Learning,Machine Learning,Big Data,Data Mining,","{'SKILL': [{'word': 'Data Science', 'score': 0.9319894909858704}, {'word': 'Deep Learning', 'score': 0.9890890121459961}, {'word': 'Machine Learning', 'score': 0.9671151638031006}, {'word': 'Big Data', 'score': 0.8801149725914001}, {'word': 'Data Mining', 'score': 0.9787259101867676}]}"
Fundamentals of Project Planning and Management,https://www.coursera.org/learn/uva-darden-project-management,"Projects are all around us. Virtually every organization runs projects, either formally or informally. We are engaged in projects at home and at work. Across settings, planning principles and execution methodologies can offer ways in which projects can be run more effectively and efficiently. Project management provides organizations (and individuals) with the language and the frameworks for scoping projects, sequencing activities, utilizing resources, and minimizing risks.",Business,Business Essentials,"Risk Analysis,Project Planning,Planning,Management,Project Management,","{'SKILL': [{'word': 'Risk Analysis', 'score': 0.9606053829193115}, {'word': 'Project Planning', 'score': 0.9768257737159729}, {'word': 'Planning', 'score': 0.9910022616386414}, {'word': 'Management', 'score': 0.9920850396156311}, {'word': 'Project Management', 'score': 0.7644150853157043}]}"
"Start the UX Design Process: Empathize, Define, and Ideate",https://www.coursera.org/learn/start-ux-design-process,"Start the UX design process: Empathize, Define, Ideate is the second course in a certificate program that will equip you with the skills needed to apply to entry-level jobs in user experience (UX) design. In this course, you’ll complete the first phases of the design process for a project that you’ll be able to include in your portfolio. You will learn how to empathize with users and understand their pain points, define user needs using problem statements, and come up with lots of ideas for solutions to those user problems. ",Computer Science,Design and Product,"User Experience (UX),UX Research,Wireframe,Prototype,User Experience Design (UXD),","{'SKILL': [{'word': 'Use', 'score': 0.6615939736366272}, {'word': 'R Experience', 'score': 0.7590302228927612}, {'word': 'UX Research', 'score': 0.9200606942176819}, {'word': 'Use', 'score': 0.8443630337715149}, {'word': 'R Experience Design', 'score': 0.9349699020385742}], 'TOOL': [{'word': 'Wireframe', 'score': 0.5881058573722839}]}"
Linear Algebra for Machine Learning and Data Science,https://www.coursera.org/learn/machine-learning-linear-algebra,"After completing this course, learners will be able to:",Computer Science,Algorithms,"Machine Learning,Linear Equation,Eigenvalues And Eigenvectors,Linear Algebra,Determinants,","{'SKILL': [{'word': 'Machine Learning', 'score': 0.6914035677909851}, {'word': 'Line', 'score': 0.9165065884590149}, {'word': 'Ar Equation', 'score': 0.7611781358718872}, {'word': 'Eigenvalues', 'score': 0.8489907383918762}, {'word': 'Eigenvectors', 'score': 0.8670040369033813}, {'word': 'Linear Algebra', 'score': 0.6714321970939636}, {'word': 'Determinants', 'score': 0.6656219363212585}]}"
